#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
  52.0000000   -8.5411153759e-11   -7.3230182598e-10    7.2443556079e-16   -3.4774055292e-15   -2.4000023503e-17   -5.3966883261e-17
  53.0000000   -8.7898009897e-10   -2.4002289670e-09   -1.0501551880e-17    4.0551336260e-15    3.3059583526e-18    4.1945536358e-17
  54.0000000   -1.5837407600e-09   -3.6331602519e-09   -7.8085224863e-16    2.1682613686e-14   -2.2114832036e-17    1.0952517480e-17
  55.0000000   -1.7217667341e-09   -3.3297950636e-09   -2.8174434697e-16    3.8532349044e-14   -1.9348768829e-18    6.6870999208e-17
  56.0000000   -1.3694651847e-09   -1.1727855131e-09    2.2385564970e-15    2.2780709264e-14    2.3301277235e-17    5.0072937279e-17
  57.0000000   -6.0039970138e-10    2.5082161496e-09    3.8001708404e-15   -5.5277136570e-14    9.0896934344e-17    7.1799247219e-17
  58.0000000    9.5374344588e-10    7.3665910839e-09   -1.1181684380e-15   -1.7622734143e-13    9.3099147773e-17    4.9104389518e-17
  59.0000000    3.2566634940e-09    1.2662442937e-08   -1.8936787932e-14   -2.3781082421e-13    3.9335977616e-17    1.1861393902e-16
  60.0000000    5.4553816939e-09    1.5577829579e-08   -4.6971623729e-14   -7.1273452666e-14    2.4327710996e-17    8.8965006033e-17
  61.0000000    6.4170552097e-09    1.2592429703e-08   -6.0997245581e-14    4.5221028782e-13   -6.8126943003e-17    2.0895125908e-17
  62.0000000    5.4414413490e-09    4.1052542895e-09   -3.7497759562e-15    1.1829863800e-12   -1.0944280872e-16   -6.1631882013e-18
  63.0000000    2.6947676704e-09   -5.9961196326e-09    2.0043801328e-13    1.4291328938e-12   -8.1496174521e-17   -7.1161454273e-17
  64.0000000   -7.8787126411e-10   -1.5450900529e-08    5.4385383740e-13    2.8908726859e-14   -9.9550731513e-17    3.4881682244e-19
  65.0000000   -3.5345871283e-09   -2.3850139780e-08    8.0407703101e-13   -3.7767126116e-12   -8.7760162764e-17   -5.9042152472e-17
  66.0000000   -5.1327101502e-09   -2.8731030868e-08    5.7432133232e-13   -8.6395505972e-12   -8.9611127220e-17   -2.3383380891e-17
  67.0000000   -7.5040252886e-09   -2.6442542306e-08   -5.4906220436e-13   -9.9188252232e-12   -7.2236348865e-17   -2.8797210384e-18
  68.0000000   -1.2347547231e-08   -1.7227334239e-08   -2.8630904850e-12   -1.8354146686e-12   -4.2186687176e-17   -2.0956935533e-18
  69.0000000   -1.6858621222e-08   -6.2975096270e-09   -6.3138878850e-12    1.6136677394e-11    9.8826614428e-18    9.4380203438e-18
  70.0000000   -1.5702670038e-08    1.9941007382e-09   -9.4606822714e-12    3.3756168311e-11   -1.2238120367e-17   -2.6807123239e-17
  71.0000000   -8.9614512029e-09    9.5265744478e-09   -8.3561442191e-12    3.3428608478e-11    1.9741748116e-17    3.9839796834e-18
  72.0000000   -3.9638476845e-09    2.0238870973e-08    2.1886863208e-12    4.0897439786e-12   -3.0954087330e-17    1.9158795868e-17
  73.0000000   -3.9049104954e-09    3.2857059760e-08    2.3723062081e-11   -4.3672413146e-11    3.0461005149e-17    4.3913914658e-17
  74.0000000   -1.8287874505e-09    4.2667867582e-08    4.8490722828e-11   -7.5756103305e-11    2.1288198647e-17    4.1731930004e-17
  75.0000000    8.7680354741e-09    4.6787909723e-08    5.8603292361e-11   -5.5004445284e-11   -5.8991412678e-17    9.8423561122e-17
  76.0000000    2.6535965532e-08    4.4509093848e-08    3.4421218848e-11    2.4549228207e-11   -2.0342962824e-17    9.4399170954e-17
  77.0000000    4.1578382785e-08    3.7233930505e-08   -2.9214667917e-11    1.1795698331e-10   -7.5963716614e-17    3.6431430911e-17
  78.0000000    4.3506277071e-08    2.3015910592e-08   -1.0942149298e-10    1.5022956650e-10   -5.1292380885e-17   -1.3599020619e-17
  79.0000000    3.8039215578e-08    2.2143595417e-10   -1.5980612566e-10    7.0970723110e-11   -3.9882249520e-17   -2.4733543596e-17
  80.0000000    3.2279769760e-08   -1.6571034212e-08   -1.3811101025e-10   -9.7963121409e-11   -1.8769723371e-17   -8.9508618566e-17
  81.0000000    1.7289136547e-08   -1.3903019510e-08   -3.9625163654e-11   -2.6234827088e-10   -6.3073336763e-17   -5.8566287757e-17
  82.0000000   -6.1573317683e-09   -6.4593550356e-09    9.2475593935e-11   -3.0989988696e-10   -9.0441247585e-17   -9.1047087992e-17
  83.0000000   -2.7663414164e-08   -1.2440275597e-08    1.9234737351e-10   -1.8597796788e-10    7.6940930804e-18   -2.0578540584e-16
  84.0000000   -5.8171043799e-08   -2.4933534025e-08    2.1361736345e-10    6.2010734464e-11   -1.4181822056e-17   -2.3484898570e-16
  85.0000000   -9.9889217882e-08   -2.6963335854e-08    1.5493571987e-10    3.0762629379e-10    6.6027632575e-17    9.0446649623e-18
  86.0000000   -1.2732206013e-07   -2.0111998623e-08    5.1819468328e-11    4.2378544656e-10    5.8788364923e-17    1.0341461121e-18
  87.0000000   -1.3941160759e-07   -1.7481336350e-08   -5.1978530911e-11    3.6034867737e-10    1.2744447016e-17    8.5069280073e-17
  88.0000000   -1.6234790783e-07   -1.7371703804e-08   -1.2675820188e-10    1.6549441627e-10   -4.0860931011e-17    1.1297058950e-16
  89.0000000   -1.9409773986e-07   -1.6737958632e-08   -1.5989672098e-10   -5.7658646284e-11    6.2069239837e-17    3.2046144940e-16
  90.0000000   -2.0401009081e-07   -2.2909980827e-08   -1.4873258552e-10   -2.1805915615e-10    8.6275179578e-17    3.6983586903e-16
  91.0000000   -1.6652620026e-07   -2.1962951932e-08   -9.8026636699e-11   -2.7698110615e-10    1.3518831106e-16    4.9224453530e-16
  92.0000000   -9.9870295836e-08   -3.0155074923e-09   -2.3554414470e-11   -2.4412216985e-10    1.3170030441e-16    4.9511120791e-16
  93.0000000   -7.7852546328e-08    6.0763315706e-10    4.9618042187e-11   -1.5085023352e-10    1.7435249616e-16    3.9991959532e-16
  94.0000000   -1.2987483219e-07   -3.2410738160e-08    1.0079335846e-10   -3.0635632940e-11    1.4286026141e-16    4.5449278551e-16
  95.0000000   -1.7504859729e-07   -5.7267580969e-08    1.2776665828e-10    8.4179214758e-11    1.6265516746e-16   -5.1730921195e-16
  96.0000000   -1.3651383751e-07   -1.1809859811e-08    1.4266246994e-10    1.6071336362e-10    1.2801356689e-16   -5.9445427659e-16
  97.0000000   -8.3157865813e-08    8.0059841762e-08    1.4894831176e-10    1.6958431664e-10    5.8247626454e-17   -2.5734927869e-15
  98.0000000   -1.1527356832e-07    1.6259270216e-07    1.2374021460e-10    9.1746210760e-11    8.2888806124e-17   -2.5551321370e-15
  99.0000000   -1.6187977381e-07    2.5486401946e-07    2.9417675109e-11   -7.8573479416e-11   -3.5487409373e-16   -4.5575961718e-15
 100.0000000   -1.3990045423e-07    3.3694957616e-07   -1.4887361177e-10   -3.3094820316e-10   -3.6968122034e-16   -4.5503331735e-15
 101.0000000   -9.4788332793e-08    3.0605209608e-07   -3.7173311065e-10   -6.2671650061e-10   -1.4773672525e-15   -4.3354498441e-15
 102.0000000    1.4454429995e-08    1.4754356799e-07   -5.5602116456e-10   -8.8404425833e-10   -1.4270145834e-15   -4.3111132222e-15
 103.0000000    3.1123797881e-07   -7.0714255686e-08   -6.3359131980e-10   -9.8678382360e-10   -2.6077505473e-15    2.0060760230e-15
 104.0000000    8.0517527191e-07   -3.4959920452e-07   -6.1533787069e-10   -8.3835182373e-10   -2.5740368467e-15    1.9861202460e-15
 105.0000000    1.3452613601e-06   -7.7153201780e-07   -5.9281844212e-10   -4.3357929409e-10   -2.4986774271e-15    1.6972699791e-14
 106.0000000    1.6805780038e-06   -1.3852840041e-06   -6.4393688869e-10    1.4254332886e-10   -2.5247040026e-15    1.7025463201e-14
 107.0000000    1.6141767290e-06   -2.1428390671e-06   -6.8666029583e-10    8.6076558735e-10    2.5202531456e-15    3.8644917914e-14
 108.0000000    1.1348718677e-06   -2.8879144533e-06   -3.9830218326e-10    1.9316869117e-09    2.4475657244e-15    3.8547542799e-14
 109.0000000    3.9337044822e-07   -3.3777103331e-06    6.6227419676e-10    3.7392457508e-09    1.5704842987e-14    5.5324398781e-14
 110.0000000   -4.3162420534e-07   -3.3931400207e-06    2.6848760742e-09    6.3593718931e-09    1.5700965220e-14    5.5307096003e-14
 111.0000000   -1.2339862133e-06   -2.8249066892e-06    5.1689739282e-09    8.9661556151e-09    3.1995258860e-14    4.0806908844e-14
 112.0000000   -1.9617525280e-06   -1.6773661893e-06    6.8182620536e-09    9.8045927010e-09    3.2010013231e-14    4.0781707297e-14
 113.0000000   -2.5344355351e-06   -8.2559987679e-08    6.1227872198e-09    7.1777288094e-09    2.9094729188e-14   -4.5477272628e-14
 114.0000000   -2.8008130798e-06    1.6523977066e-06    2.4847543676e-09    9.8961908660e-10    2.9101543276e-14   -4.5412929077e-14
 115.0000000   -2.5828233580e-06    3.1691731012e-06   -2.9097394466e-09   -6.5154346828e-09   -2.5592738257e-14   -2.3309952629e-13
 116.0000000   -1.8530253569e-06    4.3465182894e-06   -7.3769380568e-09   -1.1953400888e-08   -2.5579307731e-14   -2.3301258438e-13
 117.0000000   -9.2812499968e-07    5.3114657174e-06   -8.3187954569e-09   -1.3402105139e-08   -1.3623318298e-13   -4.7658015802e-13
 118.0000000   -2.8776230209e-07    6.1539736919e-06   -5.2148244234e-09   -1.2194483137e-08   -1.3622129446e-13   -4.7673293475e-13
 119.0000000   -7.8441822777e-08    6.7371766273e-06   -6.7702091045e-10   -1.2029981349e-08   -2.3010080119e-13   -5.7192924261e-13
 120.0000000    3.2257058605e-08    6.8112480305e-06    4.9427511129e-10   -1.5849163668e-08   -2.3010359773e-13   -5.7225290979e-13
 121.0000000    4.4455440671e-07    6.3052023670e-06   -5.5631765575e-09   -2.2887066948e-08   -1.5554971197e-13   -1.7413765815e-13
 122.0000000    1.2455362921e-06    5.4461377765e-06   -1.7789820165e-08   -2.8080935356e-08   -1.5572010831e-13   -1.7327535377e-13
 123.0000000    2.2652100686e-06    4.5277704593e-06   -2.8267048309e-08   -2.4198477806e-08    2.1458870855e-13    9.5043951673e-13
